Time,x,y,z
1.7866285412873341e+18,-314275143.2996472,39401904949.96358,-588782055.9903564
1.786628541292334e+18,-314899508.3861604,39541006153.15945,-590653749.337659
1.786628541297334e+18,-315521812.2950362,39680359638.563576,-592528000.8456053
1.7866285413023342e+18,-316142455.48314834,39819951128.37241,-594404626.729674
1.7866285413073341e+18,-316761953.3288658,39959787759.88666,-596283727.629789
1.786628541312334e+18,-317380801.6378457,40099869546.93013,-598165299.5891509
1.786628541317334e+18,-317999528.0141154,40240203675.49658,-600049404.9011116
1.7866285413223342e+18,-318618510.93610543,40380775764.60248,-601935780.8226674
1.7866285413273341e+18,-319238077.3297045,40521592999.04949,-603824484.5007007
1.786628541332334e+18,-319858371.4102709,40662655389.88998,-605715573.5997875
1.786628541337334e+18,-320479514.66499764,40803970170.64894,-607609267.2662605
1.7866285413423342e+18,-321101551.38427216,40945522857.61542,-609505493.3487295
1.7866285413473341e+18,-321724664.82445496,41087320684.18329,-611404442.5743035
1.786628541352334e+18,-322349064.4226314,41229363660.58208,-613306178.6014066
1.786628541357334e+18,-322975056.3933641,41371659069.94105,-615210841.5714527
1.7866285413623342e+18,-323602906.80278224,41514192327.082115,-617118267.4691821
1.7866285413673341e+18,-324233013.53684735,41656970713.86498,-619028577.6082602
1.786628541372334e+18,-324865757.7024715,41799994238.24176,-620941789.8580368
1.786628541377334e+18,-325501552.1679916,41943270231.14959,-622858013.3517797
1.7866285413823342e+18,-326140696.90131074,42086784004.90519,-624777057.3134408
1.7866285413873341e+18,-326783565.22778124,42230542889.95099,-626699026.9612908
1.786628541392334e+18,-327430477.10514444,42374546893.058014,-628623934.114864
1.786628541397334e+18,-328081771.01466703,42518803394.52311,-630551888.4221557
1.7866285414023342e+18,-328737666.8938344,42663297605.780975,-632482696.9930474
1.7866285414073341e+18,-329398462.6526685,42808036907.396675,-634416454.7422463
1.786628541412334e+18,-330064408.9015358,42953021306.30114,-636353154.1840103
1.786628541417334e+18,-330735782.5273923,43098258233.13608,-638292893.8714368
1.7866285414223342e+18,-331412740.4043326,43243732799.04682,-640235485.9238819
1.7866285414273341e+18,-332095521.64293087,43389452434.901566,-642181046.1879506
1.786628541432334e+18,-332784329.38963103,43535417147.59448,-644129588.2136883
1.786628541437334e+18,-333479417.74417084,43681634417.62514,-646081217.3523996
1.7866285414423342e+18,-334180936.66452706,43828089255.291695,-648035727.117613
1.7866285414473341e+18,-334889135.415445,43974789141.16524,-649993194.9525124
1.786628541452334e+18,-335604233.17190456,44121734081.48323,-651953592.6578232
1.786628541457334e+18,-336326481.1545692,44268931606.50916,-653917008.2245201
1.7866285414623342e+18,-337055975.5334274,44416366626.865395,-655883239.0326909
1.7866285414673341e+18,-337792873.0076306,44564046675.46183,-657852363.3049326
1.786628541472334e+18,-338537280.08118486,44711971761.56291,-659824335.4144608
1.786628541477334e+18,-339289350.19015896,44860149468.4944,-661799215.0885829
1.7866285414823342e+18,-340049108.8708147,45008564608.610565,-663776768.861256
1.7866285414873341e+18,-340816660.78257024,45157224766.58421,-665757067.183504
1.786628541492334e+18,-341592034.5935048,45306129953.78932,-667740082.4999611
1.786628541497334e+18,-342375270.6043666,45455287807.06506,-669725892.2020289
1.7866285415023342e+18,-343166278.4167572,45604683041.87767,-671714265.5045148
1.7866285415073341e+18,-343965094.5042969,45754323295.25704,-673705274.6283234
1.786628541512334e+18,-344771709.07074285,45904208579.7991,-675698891.8477744
1.786628541517334e+18,-345586117.714388,46054346584.02684,-677695190.9583824
