Time,x,y,z
1787287648421931776.000000,1.967826,0.873118,-3.219428
1787287648426931712.000000,1.972825,-1.337354,-3.232201
1787287648431931648.000000,1.977825,-0.572283,-3.306510
1787287648436931840.000000,1.982826,1.087745,-3.171738
1787287648441931776.000000,1.987826,-0.572044,-3.206217
1787287648446931712.000000,1.992825,-0.435798,-3.121227
1787287648451931648.000000,1.997825,0.091265,-3.083321
1787287648456931840.000000,2.002826,0.802800,-2.988598
1787287648461931776.000000,2.007826,-0.028681,-3.035672
1787287648466931712.000000,2.012825,-0.234302,-2.975198
1787287648471931648.000000,2.017825,0.082003,-2.908822
1787287648476931840.000000,2.022826,0.247968,-3.164776
1787287648481931776.000000,2.027826,-0.343021,-3.079392
1787287648486931712.000000,2.032825,0.020654,-3.140352
1787287648491931648.000000,2.037825,0.040837,-3.121837
1787287648496931840.000000,2.042826,-0.069665,-2.824305
1787287648501931776.000000,2.047826,-0.024336,-2.416938
1787287648506931712.000000,2.052825,-0.090403,-3.169375
1787287648511931648.000000,2.057825,-0.035648,-3.757067
1787287648516931840.000000,2.062826,0.158542,-3.899141
1787287648521931776.000000,2.067826,-1.079425,-3.769979
1787287648526931712.000000,2.072825,1.077618,-3.440830
1787287648531931648.000000,2.077825,-0.247335,-2.953833
1787287648536931840.000000,2.082826,-0.429552,-2.612881
1787287648541931776.000000,2.087826,0.174750,-2.317792
1787287648546931712.000000,2.092825,0.204441,-1.919533
1787287648551931648.000000,2.097825,-0.027182,-1.613677
1787287648556931840.000000,2.102826,-0.671589,-1.528199
1787287648561931776.000000,2.107826,-0.198167,-1.535317
1787287648566931712.000000,2.112825,-1.584707,-1.604120
1787287648571931648.000000,2.117825,1.838053,-1.996376
1787287648576931840.000000,2.122826,0.050112,-2.408433
1787287648581931776.000000,2.127826,0.308459,-2.636557
1787287648586931712.000000,2.132825,0.005785,-2.949263
1787287648591931648.000000,2.137825,-0.579877,-3.352058
1787287648596931840.000000,2.142826,-1.240484,-3.524922
1787287648601931776.000000,2.147826,0.797648,-4.036479
1787287648606931712.000000,2.152825,1.188137,-4.033529
1787287648611931648.000000,2.157825,-1.288818,-4.194171
1787287648616931840.000000,2.162826,-0.010891,-4.283356
1787287648621931776.000000,2.167826,1.435655,-4.124538
1787287648626931712.000000,2.172825,0.436864,-4.309431
1787287648631931648.000000,2.177825,-1.008682,-4.309702
1787287648636931840.000000,2.182826,0.010367,-4.375297
1787287648641931776.000000,2.187826,0.986931,-4.671345
1787287648646931712.000000,2.192825,-1.120673,-4.727813
1787287648651931648.000000,2.197825,0.420920,-5.009127
1787287648656931840.000000,2.202826,-1.061617,-5.155514
1787287648661931776.000000,2.207826,-0.277446,-5.399422
1787287648666931712.000000,2.212825,0.884126,-5.362387
1787287648671931648.000000,2.217825,-0.067307,-5.301732
1787287648676931840.000000,2.222826,-0.126659,-5.338402
1787287648681931776.000000,2.227826,-0.461626,-5.215970
1787287648686931712.000000,2.232825,0.901805,-5.167628
1787287648691931648.000000,2.237825,-0.081091,-4.856604
1787287648696931840.000000,2.242826,0.311407,-4.690226
1787287648701931776.000000,2.247826,-0.481436,-4.604944
1787287648706931712.000000,2.252825,1.614790,-4.487081
1787287648711931648.000000,2.257825,0.271565,-4.649172
1787287648716931840.000000,2.262826,0.034592,-4.694865
1787287648721931776.000000,2.267826,-0.427771,-4.648048
1787287648726931712.000000,2.272825,-0.406821,-4.765843
1787287648731931648.000000,2.277825,-1.677378,-4.993411
1787287648736931840.000000,2.282826,0.672687,-5.295080
1787287648741931776.000000,2.287826,1.746655,-5.187306
1787287648746931712.000000,2.292825,0.026619,-5.253877
1787287648751931648.000000,2.297825,-0.757862,-5.375578
1787287648756931840.000000,2.302826,0.403845,-5.432967
1787287648761931776.000000,2.307826,-0.018049,-5.382889
1787287648766931712.000000,2.312825,-0.824036,-5.372860
1787287648771931648.000000,2.317825,1.642408,-5.352253
1787287648776931840.000000,2.322826,-0.707942,-5.209586
1787287648781931776.000000,2.327826,-2.016134,-5.186999
1787287648786931712.000000,2.332825,1.658741,-5.146489
1787287648791931648.000000,2.337825,-0.232942,-4.749856
1787287648796931840.000000,2.342826,0.796073,-4.570085
1787287648801931776.000000,2.347826,0.141108,-4.117719
1787287648806931712.000000,2.352825,0.722912,-3.882008
1787287648811931648.000000,2.357825,-1.283441,-3.651897
1787287648816931840.000000,2.362826,-0.222720,-3.495694
1787287648821931776.000000,2.367826,0.141243,-3.407699
1787287648826931712.000000,2.372825,-0.974946,-3.278481
1787287648831931648.000000,2.377825,1.168821,-3.300578
1787287648836931840.000000,2.382826,0.243337,-3.271752
1787287648841931776.000000,2.387826,-0.935263,-3.219854
1787287648846931712.000000,2.392825,0.648673,-3.087150
1787287648851931648.000000,2.397825,0.471029,-3.087260
1787287648856931840.000000,2.402826,-0.269232,-3.004445
1787287648861931776.000000,2.407826,0.641825,-3.017381
1787287648866931712.000000,2.412825,0.758057,-3.230208
1787287648871931648.000000,2.417825,-2.426822,-3.119182
1787287648876931840.000000,2.422826,1.833750,-3.528907
1787287648881931776.000000,2.427826,-0.680096,-3.276354
1787287648886931712.000000,2.432825,0.011778,-2.819354
1787287648891931648.000000,2.437825,0.083894,-2.646359
1787287648896931840.000000,2.442826,-0.193837,-2.534932
1787287648901931776.000000,2.447826,-0.024741,-2.620999
1787287648906931712.000000,2.452825,-0.900111,-2.779491
1787287648911931648.000000,2.457825,1.555182,-2.789753
1787287648916931840.000000,2.462826,-1.097223,-2.927459
1787287648921931776.000000,2.467826,1.382953,-3.079351
1787287648926931712.000000,2.472825,-0.361589,-3.246028
1787287648931931648.000000,2.477825,-0.899077,-3.420154
1787287648936931840.000000,2.482826,1.753631,-3.580780
1787287648941931776.000000,2.487826,-0.056873,-3.833023
1787287648946931712.000000,2.492825,0.237304,-4.038777
1787287648951931648.000000,2.497825,-0.401265,-4.316174
1787287648956931840.000000,2.502826,-0.590353,-4.398105
1787287648961931776.000000,2.507826,0.544600,-4.504819
1787287648966931712.000000,2.512825,-0.877264,-4.573741
1787287648971931648.000000,2.517825,0.525560,-4.497692
1787287648976931840.000000,2.522826,-0.186419,-4.514956
1787287648981931776.000000,2.527826,0.584775,-4.450722
1787287648986931712.000000,2.532825,-0.052840,-4.379222
1787287648991931648.000000,2.537825,-1.121488,-4.346135
1787287648996931840.000000,2.542826,0.967235,-4.368056
1787287649001931776.000000,2.547826,0.867948,-4.322070
1787287649006931712.000000,2.552825,0.855226,-4.120461
1787287649011931648.000000,2.557825,-0.883362,-4.096367
1787287649016931840.000000,2.562826,-0.461292,-4.062910
1787287649021931776.000000,2.567826,-1.086418,-4.072409
1787287649026931712.000000,2.572825,1.770212,-4.229250
1787287649031931648.000000,2.577825,-0.082278,-4.283375
1787287649036931840.000000,2.582826,-0.401298,-4.465317
1787287649041931776.000000,2.587826,-0.855358,-4.484010
1787287649046931712.000000,2.592825,0.810939,-4.528461
1787287649051931648.000000,2.597825,-0.154341,-4.667267
1787287649056931840.000000,2.602826,0.712133,-4.793775
1787287649061931776.000000,2.607826,-0.408920,-4.905597
1787287649066931712.000000,2.612825,-0.757548,-5.012596
1787287649071931648.000000,2.617825,-0.582375,-5.138250
1787287649076931840.000000,2.622826,1.945771,-5.193643
1787287649081931776.000000,2.627826,-0.832823,-5.159331
1787287649086931712.000000,2.632825,-0.615332,-5.026163
1787287649091931648.000000,2.637825,0.480513,-5.097053
1787287649096931840.000000,2.642826,-0.302118,-5.050293
1787287649101931776.000000,2.647826,0.880554,-4.685684
1787287649106931712.000000,2.652825,0.428241,-4.273795
1787287649111931648.000000,2.657825,-0.441672,-4.096614
1787287649116931840.000000,2.662826,1.748498,-3.918114
1787287649121931776.000000,2.667826,-1.683272,-3.628792
1787287649126931712.000000,2.672825,-0.250817,-3.281678
1787287649131931648.000000,2.677825,-2.467515,-3.268210
1787287649136931840.000000,2.682826,-0.005656,-3.399039
1787287649141931776.000000,2.687826,2.225185,-3.476159
1787287649146931712.000000,2.692825,0.384967,-3.219303
1787287649151931648.000000,2.697825,-0.800509,-3.394149
1787287649156931840.000000,2.702826,0.516512,-3.647329
1787287649161931776.000000,2.707826,0.855405,-3.775288
1787287649166931712.000000,2.712825,0.619423,-4.196311
1787287649171931648.000000,2.717825,-0.603248,-4.179712
1787287649176931840.000000,2.722826,0.474130,-4.432923
1787287649181931776.000000,2.727826,-0.080421,-4.507309
1787287649186931712.000000,2.732825,-0.904758,-4.437246
1787287649191931648.000000,2.737825,0.143856,-4.298114
1787287649196931840.000000,2.742826,0.195196,-3.948413
1787287649201931776.000000,2.747826,0.194416,-3.716213
1787287649206931712.000000,2.752825,-0.773951,-3.448348
1787287649211931648.000000,2.757825,-0.564770,-3.126710
1787287649216931840.000000,2.762826,0.796589,-2.749414
1787287649221931776.000000,2.767826,-1.236840,-2.409447
1787287649226931712.000000,2.772825,0.776701,-2.031404
1787287649231931648.000000,2.777825,0.468865,-1.815856
1787287649236931840.000000,2.782826,0.245943,-1.788116
1787287649241931776.000000,2.787826,-0.991998,-1.634081
1787287649246931712.000000,2.792825,0.762006,-1.665169
1787287649251931648.000000,2.797825,-0.283967,-1.754636
1787287649256931840.000000,2.802826,0.172549,-2.025292
1787287649261931776.000000,2.807826,-0.294333,-2.327968
1787287649266931712.000000,2.812825,0.104898,-2.546031
1787287649271931648.000000,2.817825,-0.216372,-2.613102
1787287649276931840.000000,2.822826,0.013529,-2.505362
1787287649281931776.000000,2.827826,-0.053332,-2.650791
1787287649286931712.000000,2.832825,-0.053048,-2.968303
1787287649291931648.000000,2.837825,-0.068197,-3.206437
1787287649296931840.000000,2.842826,-0.013708,-3.413888
1787287649301931776.000000,2.847826,0.107681,-3.411538
1787287649306931712.000000,2.852825,-0.065039,-3.268580
1787287649311931648.000000,2.857825,-0.232202,-3.011689
1787287649316931840.000000,2.862826,-0.431604,-2.923483
1787287649321931776.000000,2.867826,0.955989,-2.833428
1787287649326931712.000000,2.872825,-0.908121,-2.641198
1787287649331931648.000000,2.877825,-0.261667,-2.605097
1787287649336931840.000000,2.882826,0.475495,-2.647703
1787287649341931776.000000,2.887826,0.431617,-2.559555
1787287649346931712.000000,2.892825,-0.176556,-2.502931
1787287649351931648.000000,2.897825,-0.857897,-2.640964
1787287649356931840.000000,2.902826,-0.197009,-2.743045
1787287649361931776.000000,2.907826,0.995541,-2.851101
1787287649366931712.000000,2.912825,-0.471887,-3.029815
1787287649371931648.000000,2.917825,-0.520303,-3.117983
1787287649376931840.000000,2.922826,0.168671,-3.194274
1787287649381931776.000000,2.927826,0.201237,-3.361846
